imdb_score,duration
7.9,178
7.1,169
6.8,148
8.5,164
7.1,132
6.6,156
6.2,100
7.8,141
7.5,153
7.5,183
6.9,169
6.1,106
6.7,151
7.3,150
6.5,143
7.2,150
6.6,173
8.1,136
6.7,106
6.8,164
7.5,153
7,156
6.7,186
7.9,113
6.1,201
7.2,194
7.7,147
8.2,131
5.9,124
7,143
7.8,135
7.3,195
7.2,108
6.5,104
6.8,104
7.3,150
6,165
5.7,130
6.4,142
6.7,125
6.8,106
6.3,123
5.6,103
8.3,118
6.6,140
7.2,123
7,149
8,132
7.8,114
6.3,143
7.3,116
6.6,131
7,154
6.3,122
6.2,93
6.8,122
7.2,98
7.5,91
8.4,158
6.2,96
5.8,127
6.8,110
5.4,150
6.6,144
6.9,152
7.3,96
9,94
8.3,126
6.5,126
7.9,106
7.5,112
4.8,123
5.2,96
6.9,113
5.4,176
7.9,118
6.1,95
5.8,106
8.3,124
7.8,132
7,97
6.1,130
7,128
7.6,136
4.5,93
6.3,130
7.8,102
6.4,101
6.5,100
7.9,120
7.8,98
6.6,109
5.5,121
8.2,169
6.4,148
8.1,106
8.6,166
8.8,132
8.2,137
7.9,109
6.7,98
7.8,113
7.8,93
6.6,123
6.1,126
5.6,113
6.4,184
6.1,144
7.3,206
6.6,138
6.3,157
6.1,102
7.1,104
5.5,115
7.5,111
7.6,128
6.4,89
7.2,105
6.7,119
8,129
8.3,102
6.7,138
5.9,112
6.7,120
6.7,146
7.6,115
7.2,96
7.1,88
8.1,99
6.7,113
7,131
6.9,119
5.1,110
5.8,91
6.2,90
7.4,103
5.8,124
6.6,131
6.2,88
7.3,85
4.2,111
6.9,92
6.4,196
5.4,93
6.7,133
5.8,116
6.9,153
7.2,88
6.9,115
6.1,95
5.5,133
6.6,97
6.1,90
6.3,154
7.2,150
7.4,127
7.3,121
6.1,102
7.7,126
6.1,121
8,215
7.3,127
7.9,138
5.5,122
5,124
7.7,106
6.6,124
5.7,128
5.8,138
6,115
6.4,100
6.9,135
6.4,117
7.4,156
5.5,96
5.9,107
6.8,92
7.5,115
6.8,92
8.1,117
6.5,146
7.2,115
6.7,94
8.1,116
7.6,147
7.4,90
7.6,101
5.5,138
6.7,107
6.5,142
6.6,165
6.7,100
6.4,82
5.8,98
7.4,95
7.8,159
6.6,96
4.9,143
6.5,123
7.5,174
6.2,101
7.3,134
7.5,132
5.6,129
8.2,106
8.1,113
6.4,102
6.7,135
6.6,125
6.4,110
7.5,124
7.3,123
7.5,130
5.8,92
7.5,127
6.6,123
6.7,123
3.7,107
6,124
6.4,77
6.1,109
6.4,134
5.6,117
8,135
5.2,121
7.1,117
4.8,124
7,140
5.4,142
6.6,92
6.7,138
6.2,136
6.1,98
5.3,153
6.3,120
7,101
7.6,91
6.7,108
8.1,100
6.7,108
6.5,114
7.3,119
5.1,142
6,125
6.1,126
5.9,119
7.8,170
5.8,85
6.3,119
4.3,102
6.4,103
6.1,76
6.5,120
7.1,127
6.4,105
6.5,121
6.3,114
7.5,129
4.9,171
5.8,120
7.6,165
6.2,82
5.5,115
5.4,194
5.8,84
7.1,97
5.4,151
3.7,136
6.7,104
7.2,127
8.8,171
5.8,145
6.8,174
3.8,144
7.1,119
7.2,153
5.9,140
7.1,176
8.1,141
7.2,106
6.9,98
4.4,116
6.5,115
8.5,165
7.7,91
7.4,78
8,103
5.7,131
8.5,104
7,101
7.8,111
7.2,102
6.4,103
5.5,121
6.7,143
6.1,240
8.5,121
6.9,129
7.3,172
6.7,101
6.9,87
5.1,101
6.8,95
5.8,102
6.7,131
6,114
5.7,94
8,122
8.2,95
5.4,115
7.2,88
7.5,110
7,130
3.3,216
6,146
7.1,85
5.4,93
6.1,152
5.3,85
2.2,126
7,146
3.8,89
6.9,88
7.2,105
7.3,135
6.3,100
7.5,192
7.6,172
6.8,102
5.2,100
7.7,119
6.2,92
7.7,105
4.3,107
6.9,101
6.6,137
7,115
6.7,124
8.2,118
8.9,98
8.7,82
5.5,98
5.7,90
